Store name, number of reviews, consumption, main cuisine, address, detail link, detail rating, business hours
Zhaoji Farm, 686,81, Farm Cuisine, Panyu District, https://www.dianping.com/shop/H5yrd88QCam150xS, Taste: 7.7 Environment: 7.1 Service: 7.2, Monday to Sunday 09:00-21:00
Yueyan Restaurant·Braised Squab (Longdong Branch), 3872,69, Guangzhou Cuisine, Longdong/Cencun, https://www.dianping.com/shop/H3Ruj2PtChHe2UQV, Taste: 8.6 Environment: 8.2 Service: 8.2, Monday to Sunday 07:00-14:0017:00-21:00
Mingji Snack Shop (Longjin West Road Branch), 1622, 17, Snacks, Zhongshan Qiba Road, https://www.dianping.com/shop/H82tG3wVQH5AvQP0, Taste: 7.6 Environment: 5.8 Service: 6.9, Monday to Sunday 06:00-14:00
Fango Fungo (Xili store), 365,72, Western food, Shiqiao, https://www.dianping.com/shop/l2IOPnYMZSACMZvo, Taste: 8.4 Environment: 8.6 Service: 8.2, Monday to Sunday 08:30- 20:00
K·KitchenK Steak Kitchen, 611,203, Western food, Jiangnanxi, https://www.dianping.com/shop/H6Koaq8aNbnVM6dd, Taste: 8.8 Environment: 8.8 Service: 9.1, Monday to Sunday 12:00-14:0018: 00-22:00
Yingchuan Shangpin (Chebei store), 1707,90, sushi, Chebei/Dongpu, https://www.dianping.com/shop/k2MqNXf5GCQ47YtP, taste: 8.9 environment: 7.9 service: 8.6, Monday to Sunday 11:30-14:0017:00-21:30
Hexing Snack Shop (First Jin Street Store), 1764, 7, Snacks, Zhongshan Qiba Road, https://www.dianping.com/shop/jhF6boZsJ7cjIod3, Taste: 7.7 Environment: 6.0 Service: 6.7, Monday to Sunday 07:00-19:00
Vinter Huahai World Western Restaurant (Keyi Qingcheng Branch), 1069,94, Western food, Jiangnanxi, https://www.dianping.com/shop/l2i35l7UGI0vWIEt, Taste: 7.8 Environment: 8.7 Service: 8.3, Monday to Sunday 11:00-01:00
Juhuifang Coconut Chicken·Pork Belly Chicken Restaurant (Huanshi East Branch), 5182,95, Coconut Chicken Hot Pot, District Village/Zoo, https://www.dianping.com/shop/k4xT4KJ2neU7dROw, Taste: 9.0 Environment: 9.0 Service: 8.8, Monday to Sunday 11:00-22:00
Paoge Wharf Chongqing Old Hotpot (Zhujiang New Town Store), 4327,98, Chongqing Hotpot, Zhujiang New Town, https://www.dianping.com/shop/H8Dfmk2SYsY0h4GK, Taste: 8.9 Environment: 8.7 Service: 8.9, Monday to Sunday 11 :00-24:00
Chongqing Liuhe Fish (Yuxing Garden Store), 270,69, Sichuan Restaurant, Jinzhou Business District, https://www.dianping.com/shop/G9BkevybVsyOtfVM, Taste: 7.5 Environment: 7.4 Service: 7.4, Monday to Sunday 10:00-01:00
Yunteng Casserole Porridge (Longjin East Road Store), 270,86, Snacks, Kangwang Road, https://www.dianping.com/shop/l9AR9Rvfn74ohSim, Taste: 8.0 Environment: 7.1 Service: 7.2, Monday to Sunday 17 :00-03:00
Yunteng Casserole Porridge (Longjin East Road Store), 8536, 86, Snacks, Kangwang Road, https://www.dianping.com/shop/l9AR9Rvfn74ohSim, Taste: 8.0 Environment: 7.1 Service: 7.2, Monday to Sunday 17 :00-03:00
Fengfan Western Restaurant (Yuanyang Hotel Branch), 6397,123, Western food, Huanshi East Road/Ouzhuang, https://www.dianping.com/shop/k7nP0QZQHlcj8BhM, Taste: 8.1 Environment: 8.9 Service: 8.6, Monday to Sunday Sunday 11:00-22:00
Debut·Sichuan Cuisine (Wansheng Plaza Store), 1723,86, Sichuan Restaurant, Pazhou, https://www.dianping.com/shop/H57sAr7EhS09odeH, Taste: 8.5 Environment: 8.7 Service: 8.4, Monday to Sunday 11 :00-14:0017:00-21:00
Yue Pin Yue Chao (Post and Telecommunications Building Store), 540,71, Chaoshan Cuisine, Zhongshan Ersan Road/Dongshankou, https://www.dianping.com/shop/G3ItOSDtZsaKkKFl, Taste: 7.4 Environment: 7.6 Service: 7.4, Monday to Sunday 08:00-14:0017:00-21:00
Guangzhou Garden Hotel·Ting·Japanese Restaurant, 1275,231, Japanese cuisine, Xiaobei/Gold Rush, https://www.dianping.com/shop/G7EEVLDaiZEnezPT, Taste: 7.7 Environment: 8.2 Service: 7.9, Monday to Sunday 11 :30-14:3017:30-22:00
Xinjiang Istan Food City (Shipaidian), 1897,92, Northwest folk cuisine, Shipai/Longkou, https://www.dianping.com/shop/H2j8vX4hkkAPIPZ4, Taste: 8.5 Environment: 8.6 Service: 8.4, Monday to Sunday 10:00-14:0017:00-21:30
