Store name, number of reviews, consumption, main cuisine, address, detail link, business hours,Taste,Environment,Service
Yifan Zhanjiang ChickenNew Hunan Cuisine,527,55, Guangzhou Cuisine, District Village/Zoo, htt ps://www.dianping.com/shop/H3bshoYN4ZGNi6Na, Monday to Sunday Day 06:00-14:0017:30-21:00,7.3,7.1,7
Bread Talk (Haizhu Liying Plaza Store),1494,22, Bread Baking, Kecun/Chigang, http s ://www.dianping.com/shop/G7tBmssFvWaySR3W, Monday to Sunday 07:30-22:00,7.7,7.9,7.7
The clay oven barbecue in Zhongcun (Dongxiaonan store),195,73, fusion barbecue, along Dongxiao South Road, https://ww w.dianping.com/shop/k38trheqedXP1Xsx, Monday to Sunday 16:30-02:30,8.5,8.4,8.1
Nianshou CanteenTraditional Cantonese Cuisine (Zhuying Branch),6898,77, Guangzhou Cuisine, Kecun/Chigang, https://www.dia nping.com/shop/k6iyu6jIKJ0L24t8, Monday to Sunday 11:00-14:0017:00-22:00,8.4,8.2,8.6
Longcheng Liuzhou Snail Noodles (Jiangxia Branch),142,16, porridge noodles, along Baiyun Avenue, https://www.dian ping.com/shop/l7POp6KXOMGYmOnk , Monday to Sunday 11:00-24:00,8,8.3,8.1
RuxuanSeafood Casserole PorridgeChaoshan Cuisine (Chigang Branch),2736,73, Cantonese Restaurant, Kecun/Chigang, https://www.dianpin g.com/shop/G4VpvKRisnAZl79h, all day from Monday to Sunday,9.1,9,9
adj (Renkangli store),161,21, coffee shop, Beijing Road Business District, https://www.dianping .com/shop/Ga9F5J9kz0elQr1v, Monday to Sunday 08:00 -20:00,8.1,8.2,8.3
Mr. Zhang's CrayfishCharcoal Stove Beef Offal Stew. Charcoal Stove Chicken Stew Food Stall (Hejing Tianjun Store),52,48, Crayfish, Wangcun/He Tangxia, https://www.dianping.com/shop /k7GiCGaO34VPBOee, Monday to Sunday 17:00-02:00,7.3,7.1,7.1
Xinjiang Abbey BBQ (Nanda Road Store),11,53, Xinjiang cuisine, Changlong/Nancun, https://www.dianping.com/shop/ H9eVPI8SjhlJnjrr, Monday to Sunday 17 :00-03:00,7.4,7.4,7.4
Hongji Seafood Restaurant (Tangxia Branch),220,77, Cantonese Restaurant, Tianhe Park/Shangshe, https://www.dianping.com/shop/C2rOcTq58djF2QmQ, Monday to Sunday Day 11:00-14:30 16:30-22:00,7.3,7.3,7.2
Yiji Noodle House (Jiangnan West Road Store),2243,26, Porridge Noodles, Jiangnanxi, https://www.dianping.com/shop/Chu218xw3SyBuhW8, Monday to Sunday 07 :00-03:00,8.5,8.7,8.5
YunshanSushiOMAKASE (Guangzhou Tower Store),245,331, Japanese cuisine, Kecun/Chigang, https://www.dianping.com/shop/ChuESbxbkVsJOafO, Monday to Sunday 11:30-14:0017:30-21:30,8.5,8.5,8.5
Jiangnan Benjia Korean Charcoal BBQ (Yuanjing Road Store),953,89, Korean BBQ, along Airport Road, https://www.dianping.com/shop/CY2JCooVT1fZ3tGm, Monday to Sunday 11:00-02:00,7.7,7.9,7.8
Jiangnan Benjia Korean Charcoal BBQ (Yuanjing Road Store),956,89, Korean BBQ, along Airport Road, https://www.dianping.com/shop/CY2JCooVT1fZ3tGm, Monday to Sunday 11:00-02:00,7.7,7.9,7.8
Hot Nezha Perilla Bullfrog (China Plaza Store),947,73, Guangzhou Cuisine, China Plaza, https://www.dianping.com/shop/D5fuu19uSCBZ086J, Monday to Sunday Sunday 11:00-21:30,9.1,9.1,9.1
Jiushi Barbeque (Hejing Youfang Store),279,84, Fusion Barbecue, Wangcun/He Tangxia, https://www.dianping.com/shop/E1AnpTKzzLXlUDxZ, Weekly Saturday and Sunday 11:00-23:30 Monday to Friday 11:00-22:00,7.7,7.9,7.8
Xiaobei Shark's Fin Seafood Restaurant,2812,68, Cantonese Restaurant, Dongfeng Middle Road/Yuexiu Park, https://www.dianping.com/shop/E1biZ2Csy2bobLTT, Monday to Sunday 07:00 -22:00,7.4,6.9,6.8
PHOVietnamese (Ruifeng Center Store),69,31, Vietnamese food, Central City, https://www.dianping.com/shop/E1grx5LMvyQeEwQY, Monday to Sunday 11 :00-21:30,7.8,7.7,7.9
Meet Xiaomian (Yuehuicheng store),687,34, porridge noodles, Xicun/Xichang, https://www.dianping.com/shop/E1KIwFVIhFCtGY2c, Monday to Sunday 10:00-21:30,8.1,8.1,8
Zhenyi Coffee truly,114,47, coffee shop, Beijing Road Business District, https://www.dianping.com/shop/E1Xq7rU2G4OyPCa6, Monday,8.3,8.3,8.4
MiTian HandmadeDIY Cake,353,125, Bread Baking, Beijing Road Commercial District, https://www.dianping.com/shop/E27PITeeKKm38Aqm, Monday to Sunday 10:00- 21:00,8.2,8.1,8.3
Dongjiang Shunde (Baiyun Wanda Store),1146,85, Shunde Cuisine, Wanda Plaza, https://www.dianping.com/shop/E2FeS9xhk8T219Xf, Monday to Sunday 11:00 -14:0017:00-21:00,8.6,9,8.8
Chaofa Chaoshan Beef Restaurant (Shipaiqiao Branch),1575,97, Chaoshan Beef Hot Pot, Shipai/Bainaohui, https://www.dianping.com/shop/E2QIzLOMpI9uWfqI, Monday to Sunday 11:00-03:00,9,8.8,8.8
A+COFFEE&TEA? Japanese coffee and night wine,332,16, coffee shop, Huanshi East Road/Ouzhuang, https://www.dianping.com/shop/E2qKtGNlXMepMBmC, Monday to Sunday 10:00-03:00,7.8,7.5,7.9
Mapu Carbon BBQ (Wuyangcun Store),3078,101, Korean BBQ, Wuyang New Town, https://www.dianping.com/shop/E2sgraVOttceil9e, Monday to Sunday Thursday 11:00-14:30 17:00-22:00 Friday to Sunday 11:00-22:00,9,8.8,9
