店铺名称,评论数量,人均消费,主营菜系,地址,推荐菜系,详情链接,详情评分,电话,地址,店铺别名,营业时间
钊记农庄,686 条评论,人均 ￥81,农家菜,番禺区,推荐菜：、荔枝柴烧鹅、鱼包浸西洋菜、白灼河虾,https://www.dianping.com/shop/H5yrd88QCam150xS, 口味: 7.7  环境: 7.1  服务: 7.2  , 电话： 020-84841378 , 海鸥大桥右侧米佬烧鸡旁 ,钊记海鲜大排档, 周一至周日 09:00-21:00 
悦宴酒家·红烧乳鸽(龙洞店),3872 条评论,人均 ￥69,广州菜,龙洞/岑村,推荐菜：、沙田乳鸽皇(红烧乳鸽)、咸甜薄撑、沙田乳鸽皇,https://www.dianping.com/shop/H3Ruj2PtChHe2UQV, 口味: 8.6  环境: 8.2  服务: 8.2  , 电话： 020-22023618 ？ 020-22023628 , 天源路961号君合国际酒店3楼（广州艺术学校对面） ,煲煲好, 周一至周日 07:00-14:00 17:00-21:00 
明记小吃店(龙津西路店),1622 条评论,人均 ￥17,小吃,中山七八路,推荐菜：、牛三星、牛腩粉、牛丸拼肉片,https://www.dianping.com/shop/H82tG3wVQH5AvQP0, 口味: 7.6  环境: 5.8  服务: 6.9  , 电话： 020-81831175 , 龙津西路266号（富力广场后门对面） ,榕树头牛杂粉, 周一至周日 06:00-14:00 
梵果Fungo(西丽店),365 条评论,人均 ￥72,西餐,市桥,推荐菜：、梵果特调冰咖啡、西柚冰美式、接骨木花汽水,https://www.dianping.com/shop/l2IOPnYMZSACMZvo, 口味: 8.4  环境: 8.6  服务: 8.2  , 电话： 020-31163882 , 西城路三街58号国韵文化园8号楼一层 ,梵果旅途咖啡馆, 周一至周日 08:30-20:00 
K·KitchenK牛扒厨房,611 条评论,人均 ￥203,西餐,江南西,推荐菜：、安格斯红标牛肩胛扒250克、自制欧包、低温慢煮牛排,https://www.dianping.com/shop/H6Koaq8aNbnVM6dd, 口味: 8.8  环境: 8.8  服务: 9.1  , 电话： 17688429767 ？ 13710404936 , 青葵大街12号（近新泰乐酒楼，儿福幼儿园旁） ,绮晴咖啡馆, 周一至周日 12:00-14:00 18:00-22:00 
瀛川尚品(车陂店),1707 条评论,人均 ￥90,寿司,车陂/东圃,推荐菜：、寿司、三色三文鱼彩虹、瀛川超满足,https://www.dianping.com/shop/k2MqNXf5GCQ47YtP, 口味: 8.9  环境: 7.9  服务: 8.6  , 电话： 17602043437 ," 车陂地铁站C出口直行100米左右雅景大广场二楼（车陂BRT天桥旁,酒拾烤肉旁楼梯上2楼） ",瀛川料理, 周一至周日 11:30-14:00 17:00-21:30 
合兴小食店(第一津街店),1764 条评论,人均 ￥7,小吃,中山七八路,推荐菜：、风味濑粉、濑粉皇、猪肠粉,https://www.dianping.com/shop/jhF6boZsJ7cjIod3, 口味: 7.7  环境: 6.0  服务: 6.7  , 电话： 020-81097635 , 西华路第一津街44号 ,濑粉王, 周一至周日 07:00-19:00 
Vinter葳特·花海世界西餐厅(可逸倾城店),1069 条评论,人均 ￥94,西餐,江南西,推荐菜：、厚切澳洲100天谷鉰肉眼、澳洲谷饲150天菲力牛扒、澳洲草饲西冷牛扒,https://www.dianping.com/shop/l2i35l7UGI0vWIEt, 口味: 7.8  环境: 8.7  服务: 8.3  , 电话： 无 添加 , 可逸中街11号2楼之1 ,葳享荟, 周一至周日 11:00-01:00 
聚汇坊椰子鸡·猪肚鸡餐厅(环市东店),5182 条评论,人均 ￥95,椰子鸡火锅,区庄/动物园,推荐菜：、招牌木瓜花胶椰子鸡、腊味煲仔饭、胡椒猪肚鸡文昌鸡,https://www.dianping.com/shop/k4xT4KJ2neU7dROw, 口味: 9.0  环境: 9.0  服务: 8.8  , 电话： 020-85219225 ？ 18027475815 , 天河路16号海油大厦首层自编115号铺（动物园C出口过人行天桥） ,猪肚鸡，椰子鸡，烧烤，火锅，粤菜，音乐餐厅, 周一至周日 11:00-22:00 
袍哥码头重庆老火锅(珠江新城店),4327 条评论,人均 ￥98,重庆火锅,珠江新城,推荐菜：、嫩鸭血、袍哥空运鸭肠、袍哥屠场毛肚,https://www.dianping.com/shop/H8Dfmk2SYsY0h4GK, 口味: 8.9  环境: 8.7  服务: 8.9  , 电话： 020-38615219 , 花城大道88号优托邦东翼4楼405A（美领酒店上4楼，地铁5号线猎德站B出口） ,重庆主题火锅, 周一至周日 11:00-24:00 
重庆六合鱼(裕兴花园店),270 条评论,人均 ￥69,川菜馆,金州商业区,推荐菜：、六合烤鱼、手拍黄瓜、六合鱼大头鱼,https://www.dianping.com/shop/G9BkevybVsyOtfVM, 口味: 7.5  环境: 7.4  服务: 7.4  , 电话： 020-84687886 , 富佳北街裕兴花园22栋(金州商业街) ,重庆江湖菜, 周一至周日 10:00-01:00 
云腾砂锅粥(龙津东路店),8534 条评论,人均 ￥86,小吃,康王路,推荐菜：、云腾鸡中翅、虾蚝粥、镇店蒜香虾,https://www.dianping.com/shop/l9AR9Rvfn74ohSim, 口味: 8.0  环境: 7.1  服务: 7.2  , 电话： 020-81875788 , 龙津东路713-715号（近满记） ,云腾潮州砂锅粥, 周一至周日 17:00-03:00 
云腾砂锅粥(龙津东路店),8536 条评论,人均 ￥86,小吃,康王路,推荐菜：、云腾鸡中翅、虾蚝粥、镇店蒜香虾,https://www.dianping.com/shop/l9AR9Rvfn74ohSim, 口味: 8.0  环境: 7.1  服务: 7.2  , 电话： 020-81875788 , 龙津东路713-715号（近满记） ,云腾潮州砂锅粥, 周一至周日 17:00-03:00 
风帆西餐厅(远洋宾馆店),6397 条评论,人均 ￥123,西餐,环市东路/区庄,推荐菜：、雪花牛骨排配普罗旺斯烤羊排、牛角包、黑椒牛扒,https://www.dianping.com/shop/k7nP0QZQHlcj8BhM, 口味: 8.1  环境: 8.9  服务: 8.6  , 电话： 020-87765988 , 环市东路412号二十七层 ,远洋宾馆西餐厅, 周一至周日 11:00-22:00 
首秀·四川料理(万胜广场店),1723 条评论,人均 ￥86,川菜馆,琶洲,推荐菜：、老坛酸菜鲈鱼、八宝花茶、桂花水果冰粉,https://www.dianping.com/shop/H57sAr7EhS09odeH, 口味: 8.5  环境: 8.7  服务: 8.4  , 电话： 020-80926081 , 新港东路1236号万胜广场3楼311铺 ,鱼头, 周一至周日 11:00-14:00 17:00-21:00 
